	CV_PerVarImp
SNP1	3.000000e-05
SNP2	-2.142857e-05
SNP3	3.714286e-05
SNP4	5.714286e-06
SNP5	-1.285714e-05
SNP6	2.571429e-05
SNP7	7.142857e-06
SNP8	5.428571e-05
SNP9	8.571429e-06
SNP10	-6.571429e-05
SNP11	1.000000e-05
SNP12	-2.428571e-05
SNP13	8.714286e-05
SNP14	2.142857e-05
SNP15	-1.000000e-05
SNP16	-1.428571e-06
SNP17	4.000000e-05
SNP18	-8.571429e-06
SNP19	2.571429e-05
SNP20	-2.857143e-06
SNP21	-8.571429e-06
SNP22	1.857143e-05
SNP23	4.857143e-05
SNP24	2.000000e-05
SNP25	2.142857e-05
SNP26	-3.714286e-05
SNP27	5.857143e-05
SNP28	2.285714e-05
SNP29	7.000000e-05
SNP30	-5.714286e-06
SNP31	-4.571429e-05
SNP32	3.571429e-05
SNP33	1.428571e-05
SNP34	-2.714286e-05
SNP35	3.571429e-05
SNP36	2.428571e-05
SNP37	2.000000e-05
SNP38	7.714286e-05
SNP39	8.571429e-06
SNP40	-2.142857e-05
SNP41	3.714286e-05
SNP42	6.285714e-05
SNP43	-3.142857e-05
SNP44	8.571429e-06
SNP45	-1.857143e-05
SNP46	-3.000000e-05
SNP47	-2.857143e-06
SNP48	-3.000000e-05
SNP49	5.714286e-06
SNP50	4.857143e-05
SNP51	1.428571e-06
SNP52	5.082198e-21
SNP53	1.857143e-05
SNP54	5.714286e-06
SNP55	-8.571429e-06
SNP56	-4.285714e-06
SNP57	8.571429e-06
SNP58	-4.285714e-06
SNP59	1.428571e-06
SNP60	-4.857143e-05
SNP61	-3.142857e-05
SNP62	2.857143e-05
SNP63	-5.428571e-05
SNP64	-6.428571e-05
SNP65	5.428571e-05
SNP66	1.428571e-06
SNP67	-1.000000e-05
SNP68	-1.857143e-05
SNP69	-2.000000e-05
SNP70	3.428571e-05
SNP71	1.428571e-05
SNP72	1.428571e-05
SNP73	-5.571429e-05
SNP74	4.857143e-05
SNP75	2.714286e-05
SNP76	2.714286e-05
SNP77	1.428571e-05
SNP78	-5.714286e-06
SNP79	-5.714286e-06
SNP80	-1.428571e-05
SNP81	1.571429e-05
SNP82	-3.428571e-05
SNP83	-2.142857e-05
SNP84	5.714286e-06
SNP85	0.000000e+00
SNP86	6.142857e-05
SNP87	-6.000000e-05
SNP88	-3.428571e-05
SNP89	5.285714e-05
SNP90	3.857143e-05
SNP91	1.142857e-04
SNP92	-5.428571e-05
SNP93	-2.714286e-05
SNP94	2.541099e-21
SNP95	7.000000e-05
SNP96	-2.000000e-05
SNP97	2.857143e-06
SNP98	8.142857e-05
SNP99	-6.285714e-05
SNP100	4.285714e-06
SNP101	4.285714e-06
SNP102	2.428571e-05
SNP103	-1.428571e-05
SNP104	1.285714e-05
SNP105	1.428571e-05
SNP106	-2.857143e-06
SNP107	1.085714e-04
SNP108	1.714286e-05
SNP109	-5.714286e-05
SNP110	1.857143e-05
SNP111	-1.428571e-06
SNP112	3.714286e-05
SNP113	1.428571e-05
SNP114	-6.285714e-05
SNP115	-5.714286e-06
SNP116	-4.142857e-05
SNP117	-5.857143e-05
SNP118	1.428571e-06
SNP119	4.571429e-05
SNP120	-2.571429e-05
SNP121	-2.857143e-06
SNP122	3.285714e-05
SNP123	1.000000e-05
SNP124	4.428571e-05
SNP125	-1.571429e-05
SNP126	2.571429e-05
SNP127	1.428571e-05
SNP128	-3.571429e-05
SNP129	1.142857e-05
SNP130	-1.428571e-06
SNP131	1.857143e-05
SNP132	3.142857e-05
SNP133	-4.285714e-06
SNP134	2.571429e-05
SNP135	2.142857e-05
SNP136	-4.285714e-06
SNP137	6.000000e-05
SNP138	3.285714e-05
SNP139	-2.428571e-05
SNP140	-7.142857e-06
SNP141	5.714286e-06
SNP142	2.285714e-05
SNP143	1.714286e-05
SNP144	5.285714e-05
SNP145	1.285714e-05
SNP146	7.714286e-05
SNP147	-1.000000e-05
SNP148	-2.000000e-05
SNP149	1.857143e-05
SNP150	4.857143e-05
SNP151	8.000000e-05
SNP152	-2.142857e-05
SNP153	-2.142857e-05
SNP154	2.857143e-06
SNP155	1.000000e-05
SNP156	-6.285714e-05
SNP157	-5.000000e-05
SNP158	6.571429e-05
SNP159	6.857143e-05
SNP160	-5.857143e-05
SNP161	1.571429e-05
SNP162	1.000000e-05
SNP163	-8.571429e-06
SNP164	-1.714286e-05
SNP165	3.714286e-05
SNP166	5.714286e-05
SNP167	7.428571e-05
SNP168	5.000000e-05
SNP169	-5.714286e-06
SNP170	1.571429e-05
SNP171	1.428571e-05
SNP172	-5.428571e-05
SNP173	-1.428571e-06
SNP174	-3.142857e-05
SNP175	-2.285714e-05
SNP176	4.428571e-05
SNP177	2.714286e-05
SNP178	4.285714e-06
SNP179	-2.857143e-05
SNP180	-1.428571e-06
SNP181	3.142857e-05
SNP182	7.142857e-06
SNP183	-2.857143e-05
SNP184	4.142857e-05
SNP185	-2.428571e-05
SNP186	-1.571429e-05
SNP187	-1.000000e-05
SNP188	-6.714286e-05
SNP189	4.285714e-05
SNP190	8.571429e-06
SNP191	-1.571429e-05
SNP192	-5.714286e-06
SNP193	-1.071429e-04
SNP194	1.714286e-05
SNP195	5.428571e-05
SNP196	3.571429e-05
SNP197	-2.857143e-06
SNP198	3.142857e-05
SNP199	5.142857e-05
SNP200	6.714286e-05
SNP201	2.428571e-05
SNP202	-2.714286e-05
SNP203	-1.000000e-05
SNP204	7.142857e-06
SNP205	2.571429e-05
SNP206	3.571429e-05
SNP207	1.428571e-05
SNP208	4.000000e-05
SNP209	2.571429e-05
SNP210	1.571429e-05
SNP211	5.000000e-05
SNP212	-5.142857e-05
SNP213	-5.714286e-06
SNP214	5.285714e-05
SNP215	-4.428571e-05
SNP216	4.571429e-05
SNP217	-3.142857e-05
SNP218	2.714286e-05
SNP219	-1.270549e-21
SNP220	6.285714e-05
SNP221	2.142857e-05
SNP222	-4.285714e-06
SNP223	7.000000e-05
SNP224	4.285714e-06
SNP225	-1.428571e-05
SNP226	-4.571429e-05
SNP227	5.714286e-05
SNP228	-4.571429e-05
SNP229	-7.142857e-06
SNP230	-4.000000e-05
SNP231	3.000000e-05
SNP232	-4.285714e-06
SNP233	-3.857143e-05
SNP234	1.714286e-05
SNP235	-3.285714e-05
SNP236	-4.285714e-06
SNP237	4.857143e-05
SNP238	-5.714286e-06
SNP239	-5.000000e-05
SNP240	1.714286e-05
SNP241	-5.714286e-06
SNP242	8.571429e-06
SNP243	-4.285714e-06
SNP244	-1.571429e-05
SNP245	-1.000000e-05
SNP246	-3.428571e-05
SNP247	5.714286e-05
SNP248	1.285714e-05
SNP249	5.082198e-21
SNP250	-2.000000e-05
SNP251	1.428571e-05
SNP252	1.428571e-05
SNP253	-1.000000e-05
SNP254	-1.714286e-05
SNP255	-5.142857e-05
SNP256	4.285714e-06
SNP257	3.714286e-05
SNP258	-2.714286e-05
SNP259	1.000000e-05
SNP260	2.857143e-06
SNP261	-4.000000e-05
SNP262	1.714286e-05
SNP263	-8.571429e-06
SNP264	3.857143e-05
SNP265	-6.571429e-05
SNP266	-8.571429e-06
SNP267	1.142857e-05
SNP268	-1.714286e-05
SNP269	5.714286e-06
SNP270	1.142857e-05
SNP271	4.285714e-06
SNP272	-1.142857e-05
SNP273	1.000000e-05
SNP274	3.428571e-05
SNP275	-3.714286e-05
SNP276	-1.428571e-05
SNP277	-5.000000e-05
SNP278	-5.000000e-05
SNP279	5.142857e-05
SNP280	1.714286e-05
SNP281	2.285714e-05
SNP282	-1.285714e-05
SNP283	-5.714286e-06
SNP284	3.285714e-05
SNP285	2.000000e-05
SNP286	-3.000000e-05
SNP287	3.142857e-05
SNP288	-5.285714e-05
SNP289	-3.285714e-05
SNP290	8.857143e-05
SNP291	4.285714e-05
SNP292	-1.285714e-05
SNP293	-3.571429e-05
SNP294	2.857143e-06
SNP295	-7.285714e-05
SNP296	3.714286e-05
SNP297	-7.714286e-05
SNP298	-3.142857e-05
SNP299	-1.571429e-05
SNP300	1.000000e-05
SNP301	3.857143e-05
SNP302	-5.142857e-05
SNP303	2.857143e-06
SNP304	6.857143e-05
SNP305	9.571429e-05
SNP306	-2.857143e-06
SNP307	-3.285714e-05
SNP308	1.142857e-05
SNP309	-3.000000e-05
SNP310	-7.571429e-05
SNP311	6.571429e-05
SNP312	-8.571429e-06
SNP313	5.857143e-05
SNP314	-2.857143e-06
SNP315	4.857143e-05
SNP316	3.000000e-05
SNP317	-3.142857e-05
SNP318	6.571429e-05
SNP319	-1.000000e-05
SNP320	3.285714e-05
SNP321	4.571429e-05
SNP322	1.714286e-05
SNP323	-2.857143e-05
SNP324	-1.142857e-05
SNP325	-4.285714e-05
SNP326	4.142857e-05
SNP327	-4.285714e-06
SNP328	-1.714286e-05
SNP329	3.142857e-05
SNP330	-4.428571e-05
SNP331	-3.428571e-05
SNP332	-7.142857e-06
SNP333	1.428571e-05
SNP334	2.714286e-05
SNP335	4.142857e-05
SNP336	3.857143e-05
SNP337	2.142857e-05
SNP338	1.694066e-21
SNP339	7.142857e-06
SNP340	3.714286e-05
SNP341	4.235165e-21
SNP342	-1.714286e-05
SNP343	-3.428571e-05
SNP344	-4.285714e-06
SNP345	-7.142857e-06
SNP346	1.428571e-05
SNP347	-1.857143e-05
SNP348	6.857143e-05
SNP349	7.142857e-06
SNP350	-2.857143e-05
SNP351	3.142857e-05
SNP352	-3.000000e-05
SNP353	5.714286e-06
SNP354	1.857143e-05
SNP355	4.285714e-06
SNP356	-2.000000e-05
SNP357	-1.571429e-05
SNP358	6.571429e-05
SNP359	1.285714e-05
SNP360	7.142857e-06
SNP361	-3.285714e-05
SNP362	-1.428571e-05
SNP363	2.857143e-06
SNP364	-8.571429e-05
SNP365	-2.000000e-05
SNP366	-6.714286e-05
SNP367	5.714286e-06
SNP368	-6.000000e-05
SNP369	-1.857143e-05
SNP370	-5.714286e-06
SNP371	8.571429e-06
SNP372	-1.714286e-05
SNP373	3.000000e-05
SNP374	7.000000e-05
SNP375	-1.571429e-05
SNP376	4.428571e-05
SNP377	-2.857143e-06
SNP378	-4.428571e-05
SNP379	-3.142857e-05
SNP380	3.142857e-05
SNP381	-1.571429e-05
SNP382	-6.714286e-05
SNP383	1.857143e-05
SNP384	3.428571e-05
SNP385	-4.571429e-05
SNP386	-7.714286e-05
SNP387	3.142857e-05
SNP388	-1.428571e-06
SNP389	6.285714e-05
SNP390	-2.714286e-05
SNP391	5.714286e-05
SNP392	2.857143e-06
SNP393	1.428571e-05
SNP394	-4.000000e-05
SNP395	4.285714e-05
SNP396	3.000000e-05
SNP397	-2.285714e-05
SNP398	3.428571e-05
SNP399	4.285714e-06
SNP400	4.285714e-06
SNP401	-1.428571e-06
SNP402	-5.714286e-06
SNP403	-1.428571e-05
SNP404	4.714286e-05
SNP405	1.857143e-05
SNP406	-5.285714e-05
SNP407	3.142857e-05
SNP408	3.142857e-05
SNP409	-5.142857e-05
SNP410	3.000000e-05
SNP411	4.285714e-05
SNP412	2.428571e-05
SNP413	-1.114286e-04
SNP414	-2.571429e-05
SNP415	-1.000000e-05
SNP416	-4.285714e-06
SNP417	1.428571e-05
SNP418	-2.117582e-22
SNP419	3.428571e-05
SNP420	1.142857e-05
SNP421	1.114286e-04
SNP422	-6.571429e-05
SNP423	-5.714286e-06
SNP424	-5.571429e-05
SNP425	-8.571429e-06
SNP426	-4.000000e-05
SNP427	-1.428571e-05
SNP428	2.714286e-05
SNP429	1.000000e-05
SNP430	3.428571e-05
SNP431	-1.571429e-05
SNP432	-5.714286e-06
SNP433	-2.857143e-06
SNP434	-3.857143e-05
SNP435	-5.714286e-05
SNP436	4.000000e-05
SNP437	2.000000e-05
SNP438	-8.571429e-06
SNP439	5.857143e-05
SNP440	2.857143e-05
SNP441	2.142857e-05
SNP442	1.042857e-04
SNP443	9.285714e-05
SNP444	2.428571e-05
SNP445	-7.142857e-06
SNP446	6.142857e-05
SNP447	2.571429e-05
SNP448	-6.714286e-05
SNP449	6.000000e-05
SNP450	1.571429e-05
SNP451	3.571429e-05
SNP452	-2.571429e-05
SNP453	-5.285714e-05
SNP454	1.857143e-05
SNP455	-1.285714e-05
SNP456	-2.142857e-05
SNP457	-2.428571e-05
